date,decomp_forecast,xgb_forecast,branch,absolute_difference,percentage_difference,difference
2025-11-01,5743.5,4682.7,MAA,1060.8000000000002,-18.469574301384174,-1060.8000000000002
2025-12-01,22457.7,17120.9,MAA,5336.799999999999,-23.763787030728878,-5336.799999999999
2026-01-01,9563.2,7626.1,MAA,1937.1000000000004,-20.25577212648486,-1937.1000000000004
2026-02-01,13401.9,10206.9,MAA,3195.0,-23.83990329729367,-3195.0
2026-03-01,20023.1,16563.6,MAA,3459.5,-17.277544436176218,-3459.5
2026-04-01,29580.9,23248.3,MAA,6332.600000000002,-21.407732692379213,-6332.600000000002
2026-05-01,16221.8,12963.9,MAA,3257.8999999999996,-20.08346792587752,-3257.8999999999996
2026-06-01,8015.8,6775.5,MAA,1240.3000000000002,-15.473190448863496,-1240.3000000000002
2025-07-01,1935.3,1594.9,BLR,340.39999999999986,-17.589004288740757,-340.39999999999986
2025-08-01,2311.5,1803.9,BLR,507.5999999999999,-21.95976638546398,-507.5999999999999
2025-09-01,3240.8,2579.0,BLR,661.8000000000002,-20.420883732411752,-661.8000000000002
2025-10-01,2359.2,1954.9,BLR,404.2999999999997,-17.13716514072566,-404.2999999999997
2025-11-01,2651.6,2180.7,BLR,470.9000000000001,-17.759088852013882,-470.9000000000001
2025-12-01,4731.1,3600.7,BLR,1130.4000000000005,-23.89296358140814,-1130.4000000000005
2026-01-01,4295.2,3431.4,BLR,863.7999999999997,-20.110821382007817,-863.7999999999997
2026-02-01,5151.8,4017.4,BLR,1134.4,-22.019488334174465,-1134.4
2026-03-01,8133.7,6823.9,BLR,1309.8000000000002,-16.10337238894968,-1309.8000000000002
2026-04-01,4609.6,3844.5,BLR,765.1000000000004,-16.597969455050336,-765.1000000000004
2026-05-01,4053.4,3151.7,BLR,901.7000000000003,-22.245522277594123,-901.7000000000003
2026-06-01,2507.3,2045.0,BLR,462.3000000000002,-18.4381605711323,-462.3000000000002
2025-07-01,1404.1,1187.7,SBD1,216.39999999999986,-15.412007691759838,-216.39999999999986
2025-08-01,2954.9,2399.4,SBD1,555.5,-18.799282547632746,-555.5
2025-09-01,3850.9,3121.5,SBD1,729.4000000000001,-18.941026772962168,-729.4000000000001
2025-10-01,4850.8,3763.0,SBD1,1087.8000000000002,-22.42516698276573,-1087.8000000000002
2025-11-01,2345.7,1827.6,SBD1,518.0999999999999,-22.08722343010615,-518.0999999999999
2025-12-01,8170.3,6169.0,SBD1,2001.3000000000002,-24.494816591802014,-2001.3000000000002
2026-01-01,3534.6,2765.7,SBD1,768.9000000000001,-21.753522322186388,-768.9000000000001
2026-02-01,8796.9,7353.9,SBD1,1443.0,-16.403505780445386,-1443.0
2026-03-01,14484.3,11718.1,SBD1,2766.199999999999,-19.097919816629034,-2766.199999999999
2026-04-01,13866.4,11332.1,SBD1,2534.2999999999993,-18.276553395257597,-2534.2999999999993
2026-05-01,8215.2,6778.1,SBD1,1437.1000000000004,-17.4931833674165,-1437.1000000000004
2026-06-01,5055.8,3793.1,SBD1,1262.7000000000003,-24.975275920724716,-1262.7000000000003
