,Branch,Date,Segment,Rating,Tonnage,Qty,year_month,Month,weekofyear,quarter,dayofyear,month_sin,month_cos,week_sin,week_cos,qty_lag_1,qty_lag_2,qty_lag_3,qty_lag_6,qty_lag_12,qty_ma_3,qty_std_3,qty_ma_6,qty_std_6,qty_ma_12,qty_std_12,mom_growth,yoy_growth,rolling_trend_3,is_outlier,segment_code,rating_code,branch_code,tonnage_code,log_qty
1255,COK,2022-07-31,Inverter,3 Star,1.5,315.5,2022-07-01,7,30,3,212,-0.4999999999999998,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,358.5,102.0,46.0,7.0,641.0,258.6666666666667,137.37024180415875,156.66666666666666,141.82089643866502,100.58333333333333,118.2675766935715,-0.11994421165984878,-0.5078003112202804,4.6231883052930085,0,0,2,1,2,5.757323241584231
1256,COK,2022-08-31,Inverter,3 Star,2.0,214.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,315.5,358.5,102.0,47.0,145.0,296.0,74.19737192111147,184.5,132.04393208322708,106.33333333333333,122.234189037671,-0.32171156791850536,0.4758620656837099,1.9019607656670514,0,0,2,1,4,5.3706380281276624
1257,COK,2022-08-31,Inverter,3 Star,1.8,62.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,214.0,315.5,358.5,71.0,9.0,197.16666666666666,127.58559218553239,183.0,133.63270557763877,110.75,119.32032898501004,-0.7102803705127085,5.8888882345679745,-0.45002324374702957,0,0,2,1,3,4.143134726391533
1258,COK,2022-08-31,Inverter,3 Star,1.5,311.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,62.0,214.0,315.5,46.0,28.0,195.66666666666666,125.50829985834794,227.16666666666666,122.63713412611438,134.33333333333334,129.04867533632694,4.016128967481791,10.107142496173482,-0.3798203897100252,0,0,2,1,2,5.7430031878094825
1259,COK,2022-08-31,Inverter,3 Star,1.0,564.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,311.0,62.0,214.0,102.0,74.0,312.3333333333333,251.00265602844343,304.1666666666667,165.78017573481637,175.16666666666666,176.8805880367954,0.8135048205353543,6.621621532140249,0.45950155548519517,1,0,2,1,1,6.336825731146441
1260,COK,2022-08-31,Inverter,5 Star,1.0,103.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,564.0,311.0,62.0,358.5,4.0,326.0,230.86576186173593,261.5833333333333,181.1359756278873,183.41666666666666,170.35989089055712,-0.8173758850755747,24.749993812501547,4.2580644474505736,0,0,4,1,1,4.6443908991413725
1261,COK,2022-08-31,Inverter,5 Star,1.5,140.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,103.0,564.0,311.0,315.5,7.0,269.0,256.1464424894473,232.33333333333334,184.82063376870713,194.5,161.9583279735874,0.359223297483269,18.999997285714674,-0.13504823107701533,0,0,4,1,2,4.948759890378168
1262,COK,2022-08-31,Non Inv,1 Star,1.8,15.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,140.0,103.0,564.0,214.0,47.0,86.0,64.21059102671119,199.16666666666666,205.47059805886232,191.83333333333334,164.84542805766637,-0.8928571364795919,-0.6808510493435947,-0.8475177289937629,0,1,0,1,3,2.772588722239781
1263,COK,2022-08-31,Inverter,5 Star,1.8,13.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,15.0,140.0,103.0,62.0,71.0,56.0,72.75300681071222,191.0,212.85394053199929,187.0,169.49510585586538,-0.13333332444444504,-0.8169013969450508,-0.45631067518144974,0,0,4,1,3,2.6390573296152584
1264,COK,2022-08-31,Non Inv,3 Star,1.5,78.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,13.0,15.0,140.0,311.0,46.0,35.333333333333336,36.96394639825209,152.16666666666666,207.77624182438797,189.66666666666666,167.3127628307557,4.999999615384645,0.6956521587901705,-0.7476190422789115,0,1,2,1,2,4.3694478524670215
