date,decomp_forecast,xgb_forecast,branch,absolute_difference,percentage_difference,difference
2025-04-01,3413.9,3931.300048828125,BLR,517.4000488281249,15.155688474417087,517.4000488281249
2025-05-01,3268.5,3445.199951171875,BLR,176.699951171875,5.406148116012697,176.699951171875
2025-06-01,2163.0,3154.0,BLR,991.0,45.815996301433195,991.0
2025-07-01,1674.1,3074.199951171875,BLR,1400.099951171875,83.63299391744073,1400.099951171875
2025-08-01,2014.1,3146.5,BLR,1132.4,56.223623454644766,1132.4
2025-09-01,2837.7,2596.60009765625,BLR,241.09990234374982,-8.496313998793031,-241.09990234374982
2025-10-01,2079.7,2309.0,BLR,229.30000000000018,11.025628696446613,229.30000000000018
2025-11-01,2579.0,2130.39990234375,BLR,448.60009765625,-17.394342677636683,-448.60009765625
2025-12-01,4181.5,3386.2,BLR,795.3000000000002,-19.01949061341624,-795.3000000000002
2026-01-01,3870.6,3206.699951171875,BLR,663.9000488281249,-17.1523807375633,-663.9000488281249
2026-02-01,4733.2,3710.6,BLR,1022.5999999999999,-21.604833938984196,-1022.5999999999999
2026-03-01,7189.3,5448.8,BLR,1740.5,-24.209589250692,-1740.5
2025-04-01,3790.3,5901.60009765625,COK,2111.30009765625,55.702717401162175,2111.30009765625
2025-05-01,2603.7,6898.7998046875,COK,4295.0998046875,164.96139358172985,4295.0998046875
2025-06-01,2034.7,5302.0,COK,3267.3,160.5789551285202,3267.3
2025-07-01,2363.6,5141.10009765625,COK,2777.50009765625,117.51142738433957,2777.50009765625
2025-08-01,4210.4,5252.89990234375,COK,1042.4999023437504,24.760115484128598,1042.4999023437504
2025-09-01,2664.8,5241.39990234375,COK,2576.59990234375,96.69017946351507,2576.59990234375
2025-10-01,1679.4,5138.39990234375,COK,3458.99990234375,205.96641076240024,3458.99990234375
2025-11-01,2508.2,5242.39990234375,COK,2734.19990234375,109.01044184450006,2734.19990234375
2025-12-01,6072.4,6796.2998046875,COK,723.8998046875004,11.921148222901989,723.8998046875004
2026-01-01,2790.3,5398.2001953125,COK,2607.9001953125,93.46307548695479,2607.9001953125
2026-02-01,5053.5,6637.89990234375,COK,1584.39990234375,31.352526018477295,1584.39990234375
2026-03-01,10034.2,8043.1,COK,1991.1000000000004,-19.843136473261445,-1991.1000000000004
2025-04-01,10445.3,8699.1,SBD1,1746.199999999999,-16.71756675251069,-1746.199999999999
2025-05-01,7520.8,8593.2001953125,SBD1,1072.4001953124998,14.259123967031432,1072.4001953124998
2025-06-01,5229.0,6250.2998046875,SBD1,1021.2998046875,19.531455434834577,1021.2998046875
2025-07-01,1584.5,3499.5,SBD1,1915.0,120.85831492584411,1915.0
2025-08-01,2981.8,2579.4,SBD1,402.4000000000001,-13.49520423905024,-402.4000000000001
2025-09-01,3941.4,3168.2,SBD1,773.2000000000003,-19.617394834322834,-773.2000000000003
2025-10-01,4699.4,3598.2,SBD1,1101.1999999999998,-23.432778652593946,-1101.1999999999998
2025-11-01,2107.4,1552.9,SBD1,554.5,-26.31204327607478,-554.5
2025-12-01,6304.0,5182.8,SBD1,1121.1999999999998,-17.785532994923855,-1121.1999999999998
2026-01-01,3562.4,2788.2,SBD1,774.2000000000003,-21.73253986076803,-774.2000000000003
2026-02-01,6967.5,5327.9,SBD1,1639.6000000000004,-23.532113383566564,-1639.6000000000004
2026-03-01,12953.0,10198.6,SBD1,2754.3999999999996,-21.26457191384235,-2754.3999999999996
