Date,Branch,Qty
2021-01-01,BLR,1392.0
2021-01-01,COK,1303.0
2021-01-01,MAA,5626.0
2021-01-01,SBD,6010.0
2021-01-01,VJW,3209.0
2021-02-01,BLR,2511.5
2021-02-01,COK,1763.5
2021-02-01,MAA,8451.0
2021-02-01,SBD,9687.0
2021-02-01,VJW,3499.5
2021-03-01,BLR,2248.5
2021-03-01,COK,2789.0
2021-03-01,MAA,6933.0
2021-03-01,SBD,9906.5
2021-03-01,VJW,4680.0
2021-04-01,BLR,2494.0
2021-04-01,COK,2984.0
2021-04-01,MAA,22719.0
2021-04-01,SBD,10650.5
2021-04-01,VJW,8512.0
2021-05-01,BLR,375.0
2021-05-01,COK,22.0
2021-05-01,MAA,1130.0
2021-05-01,SBD,1508.0
2021-05-01,VJW,514.0
2021-06-01,BLR,615.0
2021-06-01,COK,713.5
2021-06-01,MAA,4192.0
2021-06-01,SBD,1867.0
2021-06-01,VJW,1922.0
2021-07-01,BLR,1007.0
2021-07-01,COK,651.0
2021-07-01,MAA,4310.0
2021-07-01,SBD,2256.0
2021-07-01,VJW,1472.0
2021-08-01,BLR,1032.5
2021-08-01,COK,833.0
2021-08-01,MAA,5335.5
2021-08-01,SBD,2353.0
2021-08-01,VJW,1459.5
2021-09-01,BLR,2120.5
2021-09-01,COK,1123.5
2021-09-01,MAA,6146.5
2021-09-01,SBD,3379.0
2021-09-01,VJW,2518.0
2021-10-01,BLR,1308.5
2021-10-01,COK,1124.0
2021-10-01,MAA,4401.5
2021-10-01,SBD,3084.0
2021-10-01,VJW,2347.0
2021-11-01,BLR,1646.0
2021-11-01,COK,1151.5
2021-11-01,MAA,3750.5
2021-11-01,SBD,2316.5
2021-11-01,VJW,1040.5
2021-12-01,BLR,3417.5
2021-12-01,COK,3087.5
2021-12-01,MAA,11888.5
2021-12-01,SBD,15309.0
2021-12-01,VJW,2838.0
2022-01-01,BLR,1889.5
2022-01-01,COK,1166.0
2022-01-01,MAA,3155.5
2022-01-01,SBD,4362.5
2022-01-01,VJW,1265.0
2022-02-01,BLR,3608.0
2022-02-01,COK,2843.0
2022-02-01,MAA,8384.5
2022-02-01,SBD,6578.5
2022-02-01,VJW,2878.5
2022-03-01,BLR,5763.0
2022-03-01,COK,4308.0
2022-03-01,MAA,10357.0
2022-03-01,SBD,8796.5
2022-03-01,VJW,5532.5
2022-04-01,BLR,2541.0
2022-04-01,COK,1425.0
2022-04-01,MAA,20465.5
2022-04-01,SBD,12907.0
2022-04-01,VJW,5233.0
2022-05-01,BLR,2781.5
2022-05-01,COK,1064.0
2022-05-01,MAA,9292.5
2022-05-01,SBD,4868.0
2022-05-01,VJW,3627.5
2022-06-01,BLR,1688.0
2022-06-01,COK,1610.5
2022-06-01,MAA,6285.0
2022-06-01,SBD,3776.0
2022-06-01,VJW,2356.5
2022-07-01,BLR,1445.5
2022-07-01,COK,1062.0
2022-07-01,MAA,4089.5
2022-07-01,SBD,2126.5
2022-07-01,VJW,1130.5
2022-08-01,BLR,1038.5
2022-08-01,COK,1589.0
2022-08-01,MAA,4515.5
2022-08-01,SBD,2567.5
2022-08-01,VJW,1491.0
2022-09-01,BLR,2009.0
2022-09-01,COK,1410.5
2022-09-01,MAA,6104.0
2022-09-01,SBD,2792.0
2022-09-01,VJW,2479.0
2022-10-01,BLR,1541.5
2022-10-01,COK,829.5
2022-10-01,MAA,4006.5
2022-10-01,SBD,2512.5
2022-10-01,VJW,1616.0
2022-11-01,BLR,2011.5
2022-11-01,COK,1357.0
2022-11-01,MAA,3577.5
2022-11-01,SBD,2554.0
2022-11-01,VJW,722.0
2022-12-01,BLR,3494.5
2022-12-01,COK,3266.0
2022-12-01,MAA,18122.5
2022-12-01,SBD,18024.5
2022-12-01,VJW,3119.0
2023-01-01,BLR,3176.0
2023-01-01,COK,1763.0
2023-01-01,MAA,5907.0
2023-01-01,SBD,6551.5
2023-01-01,VJW,2967.5
2023-02-01,BLR,3838.5
2023-02-01,COK,1425.0
2023-02-01,MAA,8436.5
2023-02-01,SBD,15250.5
2023-02-01,VJW,4751.5
2023-03-01,BLR,4113.5
2023-03-01,COK,4133.0
2023-03-01,MAA,14014.5
2023-03-01,SBD,9593.0
2023-03-01,VJW,5365.5
2023-04-01,BLR,3119.0
2023-04-01,COK,3579.0
2023-04-01,MAA,19518.5
2023-04-01,SBD,7147.5
2023-04-01,VJW,8965.5
2023-05-01,BLR,2624.0
2023-05-01,COK,2365.0
2023-05-01,MAA,13518.0
2023-05-01,SBD,7890.5
2023-05-01,VJW,6570.5
2023-06-01,BLR,1880.5
2023-06-01,COK,1062.5
2023-06-01,MAA,6393.5
2023-06-01,SBD,4617.5
2023-06-01,VJW,4716.5
2023-07-01,BLR,1309.5
2023-07-01,COK,2035.5
2023-07-01,MAA,5127.5
2023-07-01,SBD,1841.5
2023-07-01,VJW,1007.5
2023-08-01,BLR,2268.0
2023-08-01,COK,3915.0
2023-08-01,MAA,6382.5
2023-08-01,SBD,4275.0
2023-08-01,VJW,2522.5
2023-09-01,BLR,2841.0
2023-09-01,COK,2678.5
2023-09-01,MAA,7946.5
2023-09-01,SBD,4739.0
2023-09-01,VJW,2941.0
2023-10-01,BLR,2246.0
2023-10-01,COK,1323.5
2023-10-01,MAA,5695.0
2023-10-01,SBD,6570.5
2023-10-01,VJW,5478.5
2023-11-01,BLR,2646.5
2023-11-01,COK,2373.5
2023-11-01,MAA,6028.5
2023-11-01,SBD,6021.0
2023-11-01,VJW,2461.0
2023-12-01,BLR,3284.0
2023-12-01,COK,5437.0
2023-12-01,MAA,18538.5
2023-12-01,SBD,23411.0
2023-12-01,VJW,6646.0
2024-01-01,BLR,4325.0
2024-01-01,COK,2478.5
2024-01-01,MAA,9714.5
2024-01-01,SBD,6385.0
2024-01-01,VJW,2871.0
2024-02-01,BLR,4024.0
2024-02-01,COK,5498.0
2024-02-01,MAA,13451.0
2024-02-01,SBD,12797.5
2024-02-01,VJW,6231.0
2024-03-01,BLR,7137.0
2024-03-01,COK,10894.5
2024-03-01,MAA,21649.0
2024-03-01,SBD,22408.0
2024-03-01,VJW,14722.0
2024-04-01,BLR,6232.0
2024-04-01,COK,13241.0
2024-04-01,MAA,37511.0
2024-04-01,SBD,23754.0
2024-04-01,VJW,20045.0
2024-05-01,BLR,4523.0
2024-05-01,COK,6120.0
2024-05-01,MAA,20702.0
2024-05-01,SBD,11406.0
2024-05-01,VJW,9616.0
2024-06-01,BLR,2515.0
2024-06-01,COK,1594.0
2024-06-01,MAA,6720.0
2024-06-01,SBD,4796.0
2024-06-01,VJW,3750.0
2024-07-01,BLR,2003.0
2024-07-01,COK,2680.0
2024-07-01,MAA,5597.0
2024-07-01,SBD,2000.0
2024-07-01,VJW,1026.0
2024-08-01,BLR,2415.0
2024-08-01,COK,4886.0
2024-08-01,MAA,7844.0
2024-08-01,SBD,4774.0
2024-08-01,VJW,2700.0
2024-09-01,BLR,3681.0
2024-09-01,COK,4885.0
2024-09-01,MAA,10063.0
2024-09-01,SBD,6800.0
2024-09-01,VJW,3695.0
2024-10-01,BLR,2399.0
2024-10-01,COK,2124.0
2024-10-01,MAA,7804.0
2024-10-01,SBD,5801.0
2024-10-01,VJW,5179.0
2024-11-01,BLR,2368.0
2024-11-01,COK,2991.0
2024-11-01,MAA,5992.0
2024-11-01,SBD,3893.0
2024-11-01,VJW,2830.0
2024-12-01,BLR,5283.0
2024-12-01,COK,6536.0
2024-12-01,MAA,26889.0
2024-12-01,SBD,18118.0
2024-12-01,VJW,11905.0
2025-01-01,BLR,4622.0
2025-01-01,COK,3617.0
2025-01-01,MAA,12963.0
2025-01-01,SBD,10901.0
2025-01-01,VJW,3466.0
2025-02-01,BLR,5220.0
2025-02-01,COK,7575.0
2025-02-01,MAA,14232.0
2025-02-01,SBD,13269.0
2025-02-01,VJW,12381.0
2025-03-01,BLR,8757.0
2025-03-01,COK,11052.0
2025-03-01,MAA,20042.0
2025-03-01,SBD,29239.0
2025-03-01,VJW,17423.0
2025-04-01,BLR,2669.0
2025-04-01,COK,6008.0
2025-04-01,MAA,20295.0
2025-04-01,SBD,7727.0
2025-04-01,VJW,6839.0
2025-05-01,BLR,2938.0
2025-05-01,COK,3929.0
2025-05-01,MAA,9358.0
2025-05-01,SBD,3750.0
2025-05-01,VJW,4337.0
2025-06-01,BLR,1864.0
2025-06-01,COK,2226.0
2025-06-01,MAA,6867.0
2025-06-01,SBD,2991.0
2025-06-01,VJW,4076.0
