Year,Month,State,Star_Rating,Tonnage,Monthly_Total_Sales,Monthly_Avg_Daily_Sales,Daily_Max_Sales,Daily_Min_Sales,Weekly_Avg_Sales,Number_of_Days,Number_of_Transactions
2024,10,Tamil Nadu,3 Star,0.8,40.0,10.0,26.0,1.0,9.03,4,4
2024,10,Tamil Nadu,3 Star,0.9,81.0,40.5,74.0,7.0,18.29,2,3
2024,10,Tamil Nadu,3 Star,1.0,1156.0,50.26,177.0,1.0,261.03,23,181
2024,10,Tamil Nadu,3 Star,1.4,449.0,34.54,155.0,1.0,101.39,13,28
2024,10,Tamil Nadu,3 Star,1.5,4027.0,175.09,974.0,12.0,909.32,23,317
2024,10,Tamil Nadu,3 Star,1.8,498.0,29.29,147.0,1.0,112.45,17,97
2024,10,Tamil Nadu,3 Star,2.2,244.0,15.25,57.0,1.0,55.1,16,55
2024,10,Tamil Nadu,3 Star,2.6,21.0,4.2,10.0,1.0,4.74,5,8
2024,10,Tamil Nadu,5 Star,1.0,75.0,4.69,23.0,1.0,16.94,16,31
2024,10,Tamil Nadu,5 Star,1.5,847.0,40.33,205.0,3.0,191.26,21,104
2024,10,Tamil Nadu,5 Star,1.8,48.0,5.33,11.0,1.0,10.84,9,13
2024,10,Telangana,1 Star,1.8,194.0,19.4,63.0,2.0,43.81,10,21
2024,10,Telangana,3 Star,0.8,4.0,4.0,4.0,4.0,0.9,1,1
2024,10,Telangana,3 Star,0.9,176.0,29.33,80.0,1.0,39.74,6,7
2024,10,Telangana,3 Star,1.0,324.0,18.0,60.0,1.0,73.16,18,46
2024,10,Telangana,3 Star,1.4,115.0,12.78,45.0,0.0,25.97,9,13
2024,10,Telangana,3 Star,1.5,2140.0,101.9,768.0,-15.0,483.23,21,183
2024,10,Telangana,3 Star,1.8,259.0,43.17,104.0,1.0,58.48,6,31
2024,10,Telangana,3 Star,2.2,436.0,31.14,110.0,1.0,98.45,14,47
2024,10,Telangana,3 Star,2.6,14.0,4.67,8.0,1.0,3.16,3,4
2024,10,Telangana,5 Star,1.0,170.0,15.45,56.0,-3.0,38.39,11,27
2024,10,Telangana,5 Star,1.5,1849.0,115.56,373.0,-6.0,417.52,16,125
2024,10,Telangana,5 Star,1.8,120.0,15.0,29.0,1.0,27.1,8,20
2024,11,Andhra Pradesh,1 Star,1.8,96.0,12.0,36.0,2.0,22.4,8,16
2024,11,Andhra Pradesh,3 Star,0.9,27.0,5.4,16.0,1.0,6.3,5,7
2024,11,Andhra Pradesh,3 Star,1.0,88.0,8.0,20.0,1.0,20.53,11,32
2024,11,Andhra Pradesh,3 Star,1.4,295.0,42.14,110.0,3.0,68.83,7,16
2024,11,Andhra Pradesh,3 Star,1.5,792.0,46.59,179.0,1.0,184.8,17,123
2024,11,Andhra Pradesh,3 Star,1.8,132.0,13.2,60.0,1.0,30.8,10,66
2024,11,Andhra Pradesh,3 Star,2.6,1.0,1.0,1.0,1.0,0.23,1,1
2024,11,Andhra Pradesh,5 Star,1.0,10.0,3.33,7.0,1.0,2.33,3,5
2024,11,Andhra Pradesh,5 Star,1.5,1366.0,91.07,434.0,1.0,318.73,15,152
2024,11,Andhra Pradesh,5 Star,1.8,23.0,3.83,10.0,2.0,5.37,6,8
2024,11,Karnataka,1 Star,1.8,49.0,12.25,28.0,0.0,11.43,4,6
2024,11,Karnataka,2 Star,1.8,10.0,10.0,10.0,10.0,2.33,1,1
2024,11,Karnataka,3 Star,0.8,46.0,11.5,40.0,1.0,10.73,4,6
2024,11,Karnataka,3 Star,0.9,96.0,8.73,28.0,1.0,22.4,11,15
2024,11,Karnataka,3 Star,1.0,613.0,30.65,170.0,1.0,143.03,20,69
2024,11,Karnataka,3 Star,1.4,39.0,9.75,17.0,1.0,9.1,4,5
2024,11,Karnataka,3 Star,1.5,540.0,25.71,123.0,1.0,126.0,21,77
2024,11,Karnataka,3 Star,1.8,245.0,16.33,68.0,1.0,57.17,15,40
2024,11,Karnataka,3 Star,2.2,146.0,29.2,106.0,4.0,34.07,5,26
2024,11,Karnataka,3 Star,2.6,24.0,4.0,6.0,1.0,5.6,6,8
2024,11,Karnataka,5 Star,1.0,126.0,12.6,43.0,1.0,29.4,10,25
2024,11,Karnataka,5 Star,1.5,375.0,26.79,89.0,1.0,87.5,14,45
2024,11,Karnataka,5 Star,1.8,59.0,5.9,21.0,1.0,13.77,10,18
2024,11,Kerala,3 Star,0.8,42.0,5.25,10.0,1.0,9.8,8,11
2024,11,Kerala,3 Star,0.9,26.0,6.5,13.0,2.0,6.07,4,6
2024,11,Kerala,3 Star,1.0,1057.0,44.04,205.0,1.0,246.63,24,151
2024,11,Kerala,3 Star,1.4,32.0,10.67,20.0,2.0,7.47,3,3
2024,11,Kerala,3 Star,1.5,788.0,32.83,86.0,2.0,183.87,24,132
2024,11,Kerala,3 Star,1.8,130.0,8.67,38.0,1.0,30.33,15,34
2024,11,Kerala,3 Star,2.2,206.0,12.88,87.0,2.0,48.07,16,61
2024,11,Kerala,3 Star,2.6,24.0,4.0,9.0,1.0,5.6,6,8
2024,11,Kerala,5 Star,1.0,451.0,22.55,100.0,1.0,105.23,20,88
2024,11,Kerala,5 Star,1.5,211.0,11.11,78.0,1.0,49.23,19,46
2024,11,Kerala,5 Star,1.8,24.0,12.0,17.0,7.0,5.6,2,7
2024,11,Tamil Nadu,1 Star,1.8,652.0,72.44,180.0,1.0,152.13,9,22
2024,11,Tamil Nadu,3 Star,0.8,160.0,26.67,75.0,1.0,37.33,6,9
2024,11,Tamil Nadu,3 Star,0.9,244.0,17.43,73.0,2.0,56.93,14,39
2024,11,Tamil Nadu,3 Star,1.0,815.0,38.81,105.0,1.0,190.17,21,130
2024,11,Tamil Nadu,3 Star,1.4,180.0,20.0,40.0,4.0,42.0,9,27
2024,11,Tamil Nadu,3 Star,1.5,2933.0,127.52,484.0,9.0,684.37,23,261
2024,11,Tamil Nadu,3 Star,1.8,320.0,16.84,43.0,2.0,74.67,19,77
2024,11,Tamil Nadu,3 Star,2.2,138.0,15.33,35.0,1.0,32.2,9,29
2024,11,Tamil Nadu,3 Star,2.6,10.0,1.43,2.0,1.0,2.33,7,8
2024,11,Tamil Nadu,5 Star,1.0,140.0,8.75,30.0,1.0,32.67,16,35
2024,11,Tamil Nadu,5 Star,1.5,361.0,20.06,83.0,-1.0,84.23,18,74
2024,11,Tamil Nadu,5 Star,1.8,39.0,6.5,16.0,2.0,9.1,6,11
2024,11,Telangana,1 Star,1.8,115.0,7.19,20.0,2.0,26.83,16,29
2024,11,Telangana,3 Star,0.8,1.0,1.0,1.0,1.0,0.23,1,1
2024,11,Telangana,3 Star,0.9,86.0,21.5,49.0,2.0,20.07,4,9
2024,11,Telangana,3 Star,1.0,361.0,15.7,88.0,1.0,84.23,23,55
2024,11,Telangana,3 Star,1.4,201.0,25.12,57.0,5.0,46.9,8,17
2024,11,Telangana,3 Star,1.5,1291.0,58.68,168.0,4.0,301.23,22,126
2024,11,Telangana,3 Star,1.8,233.0,13.71,47.0,2.0,54.37,17,45
2024,11,Telangana,3 Star,2.2,216.0,36.0,100.0,1.0,50.4,6,15
2024,11,Telangana,3 Star,2.6,9.0,2.25,4.0,1.0,2.1,4,4
2024,11,Telangana,5 Star,1.0,193.0,13.79,73.0,1.0,45.03,14,27
2024,11,Telangana,5 Star,1.5,1046.0,55.05,233.0,5.0,244.07,19,96
2024,11,Telangana,5 Star,1.8,141.0,9.4,25.0,1.0,32.9,15,38
2024,12,Andhra Pradesh,1 Star,1.8,55.0,13.75,25.0,2.0,12.42,4,9
2024,12,Andhra Pradesh,3 Star,0.8,1.0,1.0,1.0,1.0,0.23,1,1
2024,12,Andhra Pradesh,3 Star,0.9,53.0,10.6,30.0,2.0,11.97,5,10
2024,12,Andhra Pradesh,3 Star,1.0,260.0,20.0,48.0,1.0,58.71,13,68
2024,12,Andhra Pradesh,3 Star,1.4,249.0,31.12,77.0,2.0,56.23,8,15
2024,12,Andhra Pradesh,3 Star,1.5,3153.0,157.65,631.0,1.0,711.97,20,193
2024,12,Andhra Pradesh,3 Star,1.8,164.0,14.91,55.0,2.0,37.03,11,45
2024,12,Andhra Pradesh,3 Star,2.2,251.0,41.83,122.0,5.0,56.68,6,57
2024,12,Andhra Pradesh,3 Star,2.6,16.0,4.0,6.0,1.0,3.61,4,4
2024,12,Andhra Pradesh,5 Star,1.0,118.0,14.75,53.0,2.0,26.65,8,13
2024,12,Andhra Pradesh,5 Star,1.5,7542.0,471.38,1552.0,1.0,1703.03,16,280
2024,12,Andhra Pradesh,5 Star,1.8,43.0,8.6,18.0,2.0,9.71,5,25
2024,12,Karnataka,1 Star,1.8,80.0,40.0,50.0,30.0,18.06,2,11
2024,12,Karnataka,2 Star,1.8,9.0,9.0,9.0,9.0,2.03,1,1
2024,12,Karnataka,3 Star,0.8,282.0,35.25,201.0,2.0,63.68,8,17
2024,12,Karnataka,3 Star,0.9,157.0,19.62,48.0,2.0,35.45,8,13
