combination_id,state,star_rating,tonnage,status,data_points,training_points,test_points,is_stationary,best_params,mae,mse,rmse,mape,predictions,error_message
0,Kerala,3 Star,1.4,error,0,0,0,,,,,,,[],Exception during evaluation: too many values to unpack (expected 3)
33,Kerala,3 Star,1.5,success,42,24,6,False,"(0, 0, 0, 0, 0, 0)",7.370696645618105e-12,6.366921188861938e-23,7.979298959721924e-12,4.995618244445405e-13,"[{'date': '2025-01', 'predicted': 1014.0000000000027, 'actual': 1014.0, 'error': 2.7284841053187847e-12}, {'date': '2025-02', 'predicted': 2239.0000000000064, 'actual': 2239.0, 'error': 6.366462912410498e-12}, {'date': '2025-03', 'predicted': 2669.0000000000105, 'actual': 2669.0, 'error': 1.0459189070388675e-11}, {'date': '2025-04', 'predicted': 1901.0000000000118, 'actual': 1901.0, 'error': 1.1823431123048067e-11}, {'date': '2025-05', 'predicted': 1104.0000000000075, 'actual': 1104.0, 'error': 7.503331289626658e-12}, {'date': '2025-06', 'predicted': 712.0000000000053, 'actual': 712.0, 'error': 5.343281372915953e-12}]",
34,Kerala,3 Star,1.8,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",1.4329278504495353e-12,4.4229727016186855e-24,2.1030864703142105e-12,1.1142441345464025e-12,"[{'date': '2025-01', 'predicted': 103.99999999999983, 'actual': 104.0, 'error': -1.7053025658242404e-13}, {'date': '2025-02', 'predicted': 152.999999999998, 'actual': 153.0, 'error': -1.9895196601282805e-12}, {'date': '2025-03', 'predicted': 226.99999999999932, 'actual': 227.0, 'error': -6.821210263296962e-13}, {'date': '2025-04', 'predicted': 123.9999999999954, 'actual': 124.0, 'error': -4.604316927725449e-12}, {'date': '2025-05', 'predicted': 163.9999999999991, 'actual': 164.0, 'error': -9.094947017729282e-13}, {'date': '2025-06', 'predicted': 36.99999999999976, 'actual': 37.0, 'error': -2.4158453015843406e-13}]",
35,Kerala,3 Star,2.2,success,42,24,6,False,"(0, 0, 0, 0, 0, 0)",4.571158266723311e-13,2.162530694845867e-25,4.650301812620195e-13,2.809775537817098e-13,"[{'date': '2025-01', 'predicted': 90.00000000000034, 'actual': 90.0, 'error': 3.410605131648481e-13}, {'date': '2025-02', 'predicted': 272.0000000000006, 'actual': 272.0, 'error': 6.252776074688882e-13}, {'date': '2025-03', 'predicted': 278.00000000000045, 'actual': 278.0, 'error': 4.547473508864641e-13}, {'date': '2025-04', 'predicted': 144.00000000000045, 'actual': 144.0, 'error': 4.547473508864641e-13}, {'date': '2025-05', 'predicted': 214.00000000000045, 'actual': 214.0, 'error': 4.547473508864641e-13}, {'date': '2025-06', 'predicted': 107.00000000000041, 'actual': 107.0, 'error': 4.121147867408581e-13}]",
0,Kerala,3 Star,2.6,error,0,0,0,,,,,,,[],Insufficient data: 9 months
37,Kerala,5 Star,1.0,success,42,24,6,False,"(0, 0, 0, 0, 0, 0)",2.3874235921539366e-12,1.0774889124974594e-23,3.2825126237342325e-12,3.9515605949869506e-13,"[{'date': '2025-01', 'predicted': 423.0000000000002, 'actual': 423.0, 'error': 2.2737367544323206e-13}, {'date': '2025-02', 'predicted': 969.0, 'actual': 969.0, 'error': 0.0}, {'date': '2025-03', 'predicted': 1884.0000000000066, 'actual': 1884.0, 'error': 6.59383658785373e-12}, {'date': '2025-04', 'predicted': 625.0000000000036, 'actual': 625.0, 'error': 3.637978807091713e-12}, {'date': '2025-05', 'predicted': 409.9999999999985, 'actual': 410.0, 'error': -1.4779288903810084e-12}, {'date': '2025-06', 'predicted': 233.0000000000024, 'actual': 233.0, 'error': 2.3874235921539366e-12}]",
38,Kerala,5 Star,1.5,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",8.431773797686523e-13,1.0172813653077273e-24,1.0086036710758728e-12,2.1135710120957826e-13,"[{'date': '2025-01', 'predicted': 213.0000000000009, 'actual': 213.0, 'error': 9.094947017729282e-13}, {'date': '2025-02', 'predicted': 530.9999999999989, 'actual': 531.0, 'error': -1.1368683772161603e-12}, {'date': '2025-03', 'predicted': 938.9999999999995, 'actual': 939.0, 'error': -4.547473508864641e-13}, {'date': '2025-04', 'predicted': 506.9999999999982, 'actual': 507.0, 'error': -1.8189894035458565e-12}, {'date': '2025-05', 'predicted': 360.9999999999993, 'actual': 361.0, 'error': -6.821210263296962e-13}, {'date': '2025-06', 'predicted': 184.00000000000006, 'actual': 184.0, 'error': 5.684341886080802e-14}]",
39,Kerala,5 Star,1.8,success,39,21,6,True,"(0, 0, 0, 0, 0, 0)",7.756758198714427e-14,6.801032817545417e-27,8.246837465080427e-14,2.9311933981498095e-13,"[{'date': '2025-01', 'predicted': 37.99999999999994, 'actual': 38.0, 'error': -5.684341886080802e-14}, {'date': '2025-02', 'predicted': 39.999999999999915, 'actual': 40.0, 'error': -8.526512829121202e-14}, {'date': '2025-03', 'predicted': 65.99999999999989, 'actual': 66.0, 'error': -1.1368683772161603e-13}, {'date': '2025-04', 'predicted': 17.9999999999999, 'actual': 18.0, 'error': -9.947598300641403e-14}, {'date': '2025-05', 'predicted': 22.99999999999992, 'actual': 23.0, 'error': -8.171241461241152e-14}, {'date': '2025-06', 'predicted': 8.999999999999972, 'actual': 9.0, 'error': -2.842170943040401e-14}]",
40,Tamil Nadu,1 Star,1.8,success,41,23,6,True,"(0, 0, 0, 0, 0, 0)",1.5631940186722204e-12,2.526239748363446e-24,1.5894149075566915e-12,5.624832721206383e-13,"[{'date': '2025-01', 'predicted': 121.00000000000182, 'actual': 121.0, 'error': 1.8189894035458565e-12}, {'date': '2025-02', 'predicted': 351.00000000000193, 'actual': 351.0, 'error': 1.9326762412674725e-12}, {'date': '2025-03', 'predicted': 442.0000000000014, 'actual': 442.0, 'error': 1.4210854715202004e-12}, {'date': '2025-04', 'predicted': 421.00000000000125, 'actual': 421.0, 'error': 1.2505552149377763e-12}, {'date': '2025-05', 'predicted': 480.00000000000176, 'actual': 480.0, 'error': 1.7621459846850485e-12}, {'date': '2025-06', 'predicted': 356.0000000000012, 'actual': 356.0, 'error': 1.1937117960769683e-12}]",
0,Tamil Nadu,2 Star,1.8,error,0,0,0,,,,,,,[],Exception during evaluation: too many values to unpack (expected 3)
