Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time,Location
ML,Decision Tree,4580.833333333333,6449.983604630325,27.474544842338634,-0.2937556129792158,0.001998,Chennai
ML,Random Forest,4061.7508333333335,4755.691508996527,25.827274970840474,0.2966647632118853,0.116638,Chennai
ML,Gradient Boosting,5964.866261672283,6747.177781087995,41.180362003646955,-0.4157264062525239,0.053181,Chennai
ML,AdaBoost,5104.514407487937,6264.539267016064,31.000782652624192,-0.22043118729518407,0.115318,Chennai
ML,Extra Trees,4853.087500000001,5645.713603114461,31.26386430223271,0.00877393775063584,0.083267,Chennai
ML,XGBoost,5794.46142578125,6612.9006287002585,36.83831556317973,-0.3599377173370011,0.059435,Chennai
ML,LightGBM,4870.7904761904765,6474.342606041802,27.962023768998602,-0.30354605764734566,0.007534,Chennai
ML,CatBoost,3442.148413949117,4382.7646889992775,23.181657248938826,0.4026466087795557,0.788803,Chennai
ML,SVR,5957.579169091866,7934.041985353226,31.619391632852317,-0.9576002612355583,0.001517,Chennai
ML,KNN,3893.4833333333336,4496.347615194655,26.000945294932553,0.3712836066377778,0.003008,Chennai
Deep Learning,LSTM,13765.497788747152,14280.51129717034,99.90092335781546,-13.118736106661535,7.382037,Chennai
Deep Learning,GRU,13774.563910250863,14289.214395157376,99.97228579822632,-13.135950362392384,7.996316,Chennai
Deep Learning,Feed-Forward NN,15446.367406566938,16452.963905322544,99.97092463044001,-7.418279007691055,10.7478,Chennai
Deep Learning,Transformer,15441.572069537515,16446.745064623057,99.94662945744079,-7.411916379960031,9.891591,Chennai
Deep Learning,TCN,15433.466296882058,16437.204095688725,99.89815005022568,-7.402159488460571,9.837231,Chennai
Time Series,ARIMA,4966.106708640332,6645.693197683002,,-0.37345868993785625,0.056232,Chennai
Time Series,SARIMA,6291.24023248793,7511.018651801166,,-0.7544165135306837,0.389187,Chennai
Time Series,Prophet,3802.7561025527466,5273.511356961726,22.053483023503595,0.1351619340503365,0.260247,Chennai
Time Series,ETS,3187.2514181122583,5075.989634610912,,0.19873443544485736,0.053153,Chennai
ML,Linear Regression,7265.338357812553,9653.543770721697,160.365100389476,-5.201565612213593,0.002011,Cochin
ML,Ridge,4150.041351090489,4636.344397062275,69.20835328506668,-0.43047140339328593,0.001002,Cochin
ML,Lasso,5033.389152684728,6166.1120519489095,101.23021065924522,-1.530175393529229,0.004507,Cochin
ML,ElasticNet,3910.2334803050385,4456.214512710115,62.23023635177839,-0.3214781298892533,0.003512,Cochin
ML,Decision Tree,3630.3333333333335,4765.6433633525985,49.5346129054797,-0.5113702885955318,0.002005,Cochin
ML,Random Forest,3306.093333333333,4180.618714329255,45.03265646416194,-0.1630782205868,0.116987,Cochin
ML,Gradient Boosting,3673.3127541104354,4663.368572779421,49.407636180597756,-0.44719577479029393,0.055182,Cochin
ML,AdaBoost,3246.9049704924705,3960.004770194314,46.03279348666749,-0.043564317403231856,0.111813,Cochin
ML,Extra Trees,2911.539166666667,3687.0111543622525,40.68666567916928,0.09535808599825402,0.083244,Cochin
ML,XGBoost,3648.531679789225,4441.9827158067665,53.14618254910444,-0.31305080828504583,0.054731,Cochin
ML,LightGBM,3784.347619047619,5194.866522860826,48.99310833895124,-0.7958770032360123,0.007042,Cochin
ML,CatBoost,3546.671697129199,4440.968243161464,47.98515375748023,-0.3124511202164708,0.789766,Cochin
ML,SVR,4153.153656745727,5578.061800635645,52.12014465088863,-1.0705915908720738,0.001505,Cochin
ML,KNN,3393.233333333332,4344.673253537025,45.923214824577016,-0.2561515640602905,0.003525,Cochin
Deep Learning,LSTM,6326.20355339845,7073.175858752428,99.79758011450684,-4.00746957576218,7.322683,Cochin
Deep Learning,GRU,6333.9475440979,7080.461067570054,99.95046114701731,-4.0177900454508455,7.924047,Cochin
Deep Learning,Feed-Forward NN,6560.4651869907975,7607.368225939434,99.71560712308471,-2.851205376960325,11.299809,Cochin
