Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time,Location
ML,Linear Regression,57683.29161365627,170509.5310770031,327.61345190194737,-903.1330516542619,0.003509,Chennai
ML,Ridge,7831.975167041467,8532.150014059489,58.251836787914,-1.263872640884287,0.005124,Chennai
ML,Lasso,19759.153882004797,21051.39627043602,151.81062536633343,-12.781511078162062,0.006528,Chennai
ML,ElasticNet,5489.408938422173,6243.1958194976405,40.0039703768125,-0.21212927252501723,0.008606,Chennai
ML,Decision Tree,4580.833333333333,6449.983604630325,27.474544842338634,-0.2937556129792158,0.005532,Chennai
ML,Random Forest,4061.7508333333335,4755.691508996527,25.827274970840474,0.2966647632118853,0.148591,Chennai
ML,Gradient Boosting,5964.866261672283,6747.177781087995,41.180362003646955,-0.4157264062525239,0.073748,Chennai
ML,AdaBoost,5104.514407487937,6264.539267016064,31.000782652624192,-0.22043118729518407,0.132338,Chennai
ML,Extra Trees,4853.087500000001,5645.713603114461,31.26386430223271,0.00877393775063584,0.1028,Chennai
ML,XGBoost,5794.46142578125,6612.9006287002585,36.83831556317973,-0.3599377173370011,0.146319,Chennai
ML,LightGBM,4870.7904761904765,6474.342606041802,27.962023768998602,-0.30354605764734566,0.009028,Chennai
ML,CatBoost,3442.148413949117,4382.7646889992775,23.181657248938826,0.4026466087795557,0.572136,Chennai
ML,SVR,5957.579169091866,7934.041985353226,31.619391632852317,-0.9576002612355583,0.002001,Chennai
ML,KNN,3893.4833333333336,4496.347615194655,26.000945294932553,0.3712836066377778,0.004021,Chennai
Deep Learning,LSTM,13771.470730125904,14286.437941171818,99.94764965412247,-13.130457547793783,7.942279,Chennai
Deep Learning,GRU,13778.289011944706,14292.86263887255,100.00096186563106,-13.143169510220039,4.062232,Chennai
Deep Learning,Feed-Forward NN,15438.5685903014,16443.21413522914,99.92890184679776,-7.408304881835628,10.129916,Chennai
Deep Learning,Transformer,15439.970601629466,16444.083480143796,99.94161814275057,-7.409193991502439,10.137109,Chennai
Deep Learning,TCN,15441.807994027933,16447.051545228696,99.94771798344101,-7.412229890413023,10.199094,Chennai
Time Series,ARIMA,4966.106708640332,6645.693197683002,,-0.37345868993785625,0.056689,Chennai
Time Series,SARIMA,6291.24023248793,7511.018651801166,,-0.7544165135306837,0.386155,Chennai
Time Series,Prophet,3802.7561025527466,5273.511356961726,22.053483023503595,0.1351619340503365,0.262058,Chennai
Time Series,ETS,3187.2514181122583,5075.989634610912,,0.19873443544485736,0.053362,Chennai
ML,Linear Regression,7265.338357812553,9653.543770721697,160.365100389476,-5.201565612213593,0.001997,Cochin
ML,Ridge,4150.041351090489,4636.344397062275,69.20835328506668,-0.43047140339328593,0.000999,Cochin
ML,Lasso,5033.389152684728,6166.1120519489095,101.23021065924522,-1.530175393529229,0.004551,Cochin
ML,ElasticNet,3910.2334803050385,4456.214512710115,62.23023635177839,-0.3214781298892533,0.004008,Cochin
ML,Decision Tree,3630.3333333333335,4765.6433633525985,49.5346129054797,-0.5113702885955318,0.001999,Cochin
ML,Random Forest,3306.093333333333,4180.618714329255,45.03265646416194,-0.1630782205868,0.124771,Cochin
ML,Gradient Boosting,3673.3127541104354,4663.368572779421,49.407636180597756,-0.44719577479029393,0.065129,Cochin
ML,AdaBoost,3246.9049704924705,3960.004770194314,46.03279348666749,-0.043564317403231856,0.117717,Cochin
ML,Extra Trees,2911.539166666667,3687.0111543622525,40.68666567916928,0.09535808599825402,0.084192,Cochin
